"Timestamp","Monday 10 to 12","Monday 11 to 1","Monday 12 to 2","Monday 1 to 3","Monday 2 to 4","Tuesday 12 to 2"
"2019/02/19 4:06:23 PM PST","","","","","","I can make it!"
"2019/02/19 4:07:19 PM PST","","","I can make it!","I can make it!","I can make it!","I can make it!"
"2019/02/19 4:08:29 PM PST","","","","","","I can make it!"
"2019/02/19 4:12:39 PM PST","","","","","","I can make it!"
"2019/02/19 4:16:45 PM PST","","I can make it!","I can make it!","I can make it!","",""
"2019/02/19 5:40:55 PM PST","","I can make it!","I can make it!","","","I can make it!"
"2019/02/19 7:25:29 PM PST","","","I can make it!","","I can make it!","I can make it!"
"2019/02/19 7:42:27 PM PST","","","I can make it!","","",""
"2019/02/19 8:17:15 PM PST","","","","I can make it!","I can make it!","I can make it!"
"2019/02/19 10:40:15 PM PST","","","","I can make it!","I can make it!","I can make it!"
"2019/02/19 10:54:37 PM PST","I can make it!","I can make it!","","","",""
"2019/02/20 7:52:49 AM PST","I can make it!","","","","","I can make it!"
"2019/02/20 7:15:43 PM PST","","","","","","I can make it!"
