"Timestamp","Wed, May 8th, 10 to 12","Wed, May 8th, 2 to 4","Thu, May 9th, 10 to 12","Thu, May 9th, 11 to 1","Thu, May 9th, 12 to 2","I can't make it to any of these"
"2019/05/02 12:31:23 PM MDT","","I can make it!","","I can make it!","I can make it!",""
"2019/05/02 1:01:44 PM MDT","I can make it!","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 1:07:01 PM MDT","","I can make it!","","","I can make it!",""
"2019/05/02 2:58:56 PM MDT","I can make it!","I can make it!","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:10:07 PM MDT","","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:10:53 PM MDT","","","","","","But I would attend if I could!"
"2019/05/02 4:11:34 PM MDT","","I can make it!","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:11:42 PM MDT","I can make it!","","","","",""
"2019/05/02 4:11:44 PM MDT","I can make it!","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:12:01 PM MDT","I can make it!","","","","","But I would attend if I could!"
"2019/05/02 4:12:25 PM MDT","","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:12:33 PM MDT","","I can make it!","","","I can make it!",""
"2019/05/02 4:12:35 PM MDT","I can make it!","","I can make it!","I can make it!","",""
"2019/05/02 4:13:04 PM MDT","","","I can make it!","","",""
"2019/05/02 4:13:20 PM MDT","","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:16:12 PM MDT","","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 4:16:52 PM MDT","I can make it!","","I can make it!","I can make it!","I can make it!",""
"2019/05/02 8:25:47 PM MDT","I can make it!","I can make it!","I can make it!","","",""
"2019/05/02 8:27:08 PM MDT","","","I can make it!","","",""
